nickname,full_name
Terrence Ross,Terrence Ross
Matisse Thybulle,Matisse Thybulle
Blake Griffin,Blake Griffin
Killian Tillie,Killian Tillie
Jerami Grant,Jerami Grant
Gary Trent Jr.,Gary Trent Jr.
Daniel Theis,Daniel Theis
Royce O'Neale,Royce O'Neale
Malcolm Brogdon,Malcolm Brogdon
Luka Samanic,Luka Samanic
Miles Bridges,Miles Bridges
T.J. Warren,T.J. Warren
AJ Lawson,AJ Lawson
Herbert Jones,Herbert Jones
Isaiah Hartenstein,Isaiah Hartenstein
Jaren Jackson Jr.,Jaren Jackson Jr.
Monte Morris,Monte Morris
Udoka Azubuike,Udoka Azubuike
Davis Bertans,Davis Bertans
Tacko Fall,Tacko Fall
Nickeil Alexander-Walker,Nickeil Alexander-Walker
DJ Stewart,DJ Stewart
Semi Ojeleye,Semi Ojeleye
Aleksej Pokusevski,Aleksej Pokusevski
Jay Huff,Jay Huff
Doug McDermott,Doug McDermott
Shaquille Harrison,Shaquille Harrison
Frank Kaminsky,Frank Kaminsky
Mo Bamba,Mo Bamba
Elijah Bryant,Elijah Bryant
Jaylen Nowell,Jaylen Nowell
Jonathan Isaac,Jonathan Isaac
Marques Bolden,Marques Bolden
Trae Young,Trae Young
Grayson Allen,Grayson Allen
Alec Burks,Alec Burks
Eric Bledsoe,Eric Bledsoe
Lonzo Ball,Lonzo Ball
Moses Wright,Moses Wright
Josh Jackson,Josh Jackson
Josh Richardson,Josh Richardson
Tomas Satoransky,Tomas Satoransky
Cade Cunningham,Cade Cunningham
Cassius Winston,Cassius Winston
Jaden Springer,Jaden Springer
Klay Thompson,Klay Thompson
Brandon Clarke,Brandon Clarke
Jabari Parker,Jabari Parker
Damian Lillard,Damian Lillard
Patrick Beverley,Patrick Beverley
Patrick Patterson,Patrick Patterson
Goran Dragic,Goran Dragic
Gabe Vincent,Gabe Vincent
Joe Ingles,Joe Ingles
Naz Reid,Naz Reid
Mike Conley,Mike Conley
Cody Zeller,Cody Zeller
Damion Lee,Damion Lee
Aaron Nesmith,Aaron Nesmith
Pascal Siakam,Pascal Siakam
Thomas Bryant,Thomas Bryant
Maurice Harkless,Maurice Harkless
Isaiah Jackson,Isaiah Jackson
Tyrell Terry,Tyrell Terry
Terry Rozier,Terry Rozier
LaMelo Ball,LaMelo Ball
KD,Kevin Durant
@StephenCurry30,Stephen Curry
Lebron,Lebron James
Luka,Luka Doncic
Kyrie,Kyrie Irving
kyrie,Kyrie Irving
steph,Stephen Curry
Steph,Stephen Curry
Demar,DeMar DeRozan
Derozan,DeMar DeRozan
Tatum,Jayson Tatum
#LebronJames,Lebron James
King James,Lebron James
#StephenCurry,Stephen Curry
Joker,Nikola Jokic
Young,Trae Young
luka,Luka Doncic
@BrownOfJaylen,Jaylen Brown
Bron,Lebron James
